,Term,Freq,Total,Category,logprob,loglift
2071,edificaciones,35.32797596856581,81.05952975125652,Topic4,-5.2432,1.1278
11279,aumentar,10.876433723223618,20.79111243401737,Topic4,-6.4212,1.3103
11,espanola,45.49901678992321,115.55253366494009,Topic4,-4.9902,1.0262
1368,hectareas,51.42626069780475,140.02707969083096,Topic4,-4.8677,0.9566
98,parcial,23.033479871978567,53.173729730704856,Topic4,-5.6709,1.1216
1366,arrasa,23.797760990119798,56.18464806848553,Topic4,-5.6383,1.0992
313,sacudio,12.479208718606213,26.255840681640176,Topic4,-6.2838,1.2144
12,terremoto,46.58700250663195,154.87175549111976,Topic4,-4.9665,0.757
139,mayor,38.40834685485194,124.36065729223297,Topic4,-5.1596,0.7833
1298,cara,14.658524976553549,34.860540963861936,Topic4,-6.1228,1.0919
1819,mujeres,7.35129146993731,13.706763171680315,Topic4,-6.813,1.3352
199,solo,27.36016335878225,84.51977488305558,Topic4,-5.4988,0.8304
642,laguna,42.70496350612135,161.46311185035194,Topic4,-5.0535,0.6283
156,derrames,16.333529344277583,42.75317989629826,Topic4,-6.0146,0.996
1813,devastacion,15.766268276743121,41.69312777724979,Topic4,-6.05,0.9858
185,noticias,28.853912019948602,115.62092879029733,Topic4,-5.4456,0.5702
2751,eruption,15.352648069356826,43.758832471164766,Topic4,-6.0766,0.9109
99,principal,45.78314861924484,271.70694364623176,Topic4,-4.9839,0.1775
97,derrumbe,30.369860912809603,139.66048003731174,Topic4,-5.3944,0.4325
660,vivo,17.931615980771788,58.45316652793089,Topic4,-5.9213,0.7766
1272,semanas,18.293915666572246,62.65860455777222,Topic4,-5.9013,0.7271
311,magnitud,25.38018447576689,125.27860779761937,Topic4,-5.5739,0.3617
100,actividad,24.520476611345504,133.54008809869282,Topic4,-5.6083,0.2634
165,imagenes,23.784325646534608,143.64371203688785,Topic4,-5.6388,0.16
2753,volcano,21.029325154602326,105.1405875547106,Topic4,-5.7619,0.3489
427,amenaza,17.652680811576158,63.59003770212702,Topic4,-5.937,0.6767
184,cumbrevieja,20.1711647677619,126.23447317568959,Topic4,-5.8036,0.1244
1903,afectados,18.713070363697284,103.20407908198385,Topic4,-5.8786,0.2508
1434,sur,16.231811494471618,55.40287169099542,Topic4,-6.0209,0.7306
1033,gran,17.203214858413624,80.77283651310313,Topic4,-5.9627,0.4117
1477,norte,16.243766303671,60.63006278819965,Topic4,-6.0201,0.6412
18,coladas,18.17858966632849,135.4985560632216,Topic4,-5.9076,-0.0505
141,ultima,15.766926810965199,118.65719298691064,Topic4,-6.0499,-0.0601
10545,erupting,4.785827313421221,5.472333610233646,Topic5,-7.1727,1.8937
2546,focoinformativo,3.2304557113725614,3.912687772662568,Topic5,-7.5657,1.8361
11207,devastada,3.2271560617767956,3.909488033994615,Topic5,-7.5668,1.8359
1537,formula,3.698623633215936,4.686747137628042,Topic5,-7.4304,1.791
2219,catastrofes,2.452510854451821,3.1340611118368114,Topic5,-7.8412,1.7825
11646,flowing,2.4503499978751044,3.132471158976717,Topic5,-7.8421,1.7822
8369,life,2.449831704543463,3.1324627835220444,Topic5,-7.8423,1.7819
9291,stop,2.4497120704609587,3.132541302189234,Topic5,-7.8424,1.7819
11526,libremercado,2.4494285068238226,3.13260567777535,Topic5,-7.8425,1.7817
2350,elle,2.448984644408459,3.1323557445937285,Topic5,-7.8427,1.7816
10755,tour,2.4397247122682297,3.132045207649035,Topic5,-7.8465,1.7779
1070,maxima,12.573876828851564,16.42315579263652,Topic5,-6.2067,1.7607
6592,estaria,2.395214661256513,3.1347692186937515,Topic5,-7.8649,1.7587
7159,campeon,3.5241800762746647,4.681675615966537,Topic5,-7.4787,1.7437
8858,continue,3.38133734484143,4.683513866205399,Topic5,-7.5201,1.702
10456,seen,3.362460575240479,4.683264496820809,Topic5,-7.5257,1.6964
2220,corte,1.6723927963145915,2.3537950320697263,Topic5,-8.2241,1.686
3427,actuar,1.6719856047409063,2.3535038167071924,Topic5,-8.2243,1.6859
2227,tazon,1.6718601614161552,2.353335847520852,Topic5,-8.2244,1.6859
2218,bosnia,1.6717969859067294,2.3532489981594296,Topic5,-8.2245,1.6859
2226,sida,1.67181677363813,2.3532776788112946,Topic5,-8.2244,1.6859
2217,boom,1.6716379579002434,2.3531209363985655,Topic5,-8.2246,1.6858
2225,prestige,1.6715651608333473,2.3530729753855084,Topic5,-8.2246,1.6858
2134,armadura,1.6715057976391454,2.3530328643785023,Topic5,-8.2246,1.6858
2222,innumerables,1.6714395359697762,2.352945759025312,Topic5,-8.2247,1.6858
1125,skylivetv,1.6713890681777634,2.3529485735415228,Topic5,-8.2247,1.6857
2900,logica,1.6711496184739334,2.3526811547033795,Topic5,-8.2248,1.6857
2671,nueces,1.6710597567579395,2.352581584617737,Topic5,-8.2249,1.6857
3503,imagennoticias,1.6713921543377066,2.3530587926891315,Topic5,-8.2247,1.6857
3154,broma,1.67169223800748,2.3534970785494758,Topic5,-8.2245,1.6857
310,estudiar,6.347963778065424,9.385639383537661,Topic5,-6.8902,1.6367
7042,asistencia,3.2304825791179494,4.702066100125552,Topic5,-7.5657,1.6524
3934,niusdiario,3.229516792594541,4.758369887373142,Topic5,-7.566,1.6402
